360305,FL8-30,LINK FIGURE-8 30K LB ULTIMATE STRENGTH,LIN05,3BOLTWSHR  ,14,5.02
360310,31065,FUSE FIT ALL TYPE K 65A,COO02,3FUSE      ,14,7.18
360312,147433R4-H-A2W ED-710R4,SWITCH ABS FBGLS OMNI-RUPTER 25KV 900A,SCE03,3SWITCH3PH ,147,6893.12
360314,3/8 GUY HS 500FT,WIRE GUY 3/8 HS 500 COILS (.272#/FT),CON08,3WIREGUY   ,14,.47
360314,3/8 GUY EHS 500FT,WIRE GUY 3/8 EHS 500 COILS (.272#/FT),CON08,3WIREGUY   ,14,.56
360315,J26634,BRACKET XARM ARRESTER/CUTOUT,MAC10,3BRACKET   ,231,6.98
360315,7/16 GUY HS 500FT,WIRE GUY 7/16 HS 500 COILS,CON08,3WIREGUY   ,14,.62
360316,973X-35AL,SWITCH 3PH HORIZ VECTOR 25KV 900A INSUL OPT SHAFT 28" PIPE W/ARR AND 2645-06 INSL,SIE02,3SWITCH3PH ,67,3730.86
360319,HGSE020,LUG TRANSFORMER GROUND 8 SOL - 2/0 STR 2 WAY BASKET,PEN04,3CONNMECH  ,14,6.58
360326,25 DV-240/120 PAD T1,PAD 25 KVA 14400X7200 240/120 1PH ANSI TYPE 1/MAXI,GEP01,3TRANURD1P ,63,1974.07
360337,TIE WIRE #4 ALUM,TIE WIRE #4 ALUM 25# BOX COIL (654FT/25#),NEH02,3WIRETIE   ,57,3.43
360338,TIE WIRE #6 ALUM,TIE WIRE #6 ALUM 25# BOX COIL (1033FT/25#),NEH02,3WIRETIE   ,50,3.30
360339,750X136202,CURRENT TRANSFORMER 600V 200:5 JAB-OC PAD MTD,GEG02,3CTVTPT    ,37,84.00
360340,750X133311,CURRENT TRANSFORMER 600V 200:5 JAK-0C W/LBP RF4,GEG02,3CTVTPT    ,112,85.07
360341,750X133313,CURRENT TRANSFORMER 600V 400:5 JAK-0C  W/LBP RF4,GEG02,3CTVTPT    ,46,86.82
360343,750X136204,CURRENT TRANSFORMER 600V 400:5  JAB-OC PAD MTD,GEG02,3CTVTPT    ,112,84.03
360347,750X136212,CURRENT TRANSFORMER 600V 1200:5 JAB-OC PAD MTD,GEG02,3CTVTPT    ,240,77.07
360348,760X134005,VOLTAGE TRANSFORMER 600V 2.5:1 300:120 JVA-0C UNFUSED,GEG02,3CTVTPT    ,32,191.87
360351,1075,WASHER SQUARE FLAT GALV 2-1/4 X 3/16 FOR 5/8 BOLT,MAC10,3BOLTWSHR  ,14,.47
360352,6823,WASHER SQUARE CURVED 3 X 3 X 1/4 FOR 3/4 BOLT (13/16IN H) J6823,MAC10,3BOLTWSHR  ,98,1.49
360353,113,WASHER SQUARE CURVED 3 X 3 X 1/4 FOR 5/8 BOLT 11/16H #233,ALL38,3BOLTWSHR  ,84,1.05
360358,CREO501W,POLE WOOD 50FT CL 1 CREOSOTE,500,2MFGCREPOL ,5,13.69
360361,RAVEN 885LB NRR,1/0 AWG ACSR 6/1 885LB 36X22X18 NRR (6095FT PROX),CME02,3WIREBAREA ,28,2.97
360362,DRAKE 3700LB NRR,795 MCM ACSR 26/7 3700LB 60X32X32 NRR (3381' APPROX),CME02,3WIREBAREA ,350,2.25
360363,ARBUTUS 3700LB NRR,795 MCM AAC 3700LB 66X32X32 NRR (4960 FT PROX),CME02,3WIREBAREA ,231,2.87
360386,BARE CU 2 7STR SD 25LB SPL,2 AWG BARE SD CU 7 STR 25LB SPOOL (125FT),SER02,3WIREBAREC ,18,7.96
360387,1313010,LOCK ROTARY SHACKLE W/OUT KEYS STERLING BRAND CITY OF GEORGETOWN,ENG02,3SAFETY    ,60,8.80
360396,CONDUIT PVC 4X20,CONDUIT PVC 4IN X 20FT SCH 40 LONG BELL (8516),ATK01,3CONDUPIPE ,42,7.84
360397,CONDUIT PVC 6X20,CONDUIT PVC 6IN X 20FT SCH 40 LONG BELL (8524),ATK01,3CONDUPIPE ,42,14.49
360399,C58813,GROUND ROD 5/8IN X 8FT CU 13MIL,SOU53,3GRROD     ,19,15.15
360401,12 CU SOL THHN BLK 500FT NRR,12 AWG CU SOLID THHN BLACK 600V 500FT NRR,CME02,3WIRE600VC ,56,.20
360403,A307,BOLT ALL THREAD 12 X 1" HEX HEAD SS,SUB05,3BOLTWSHR  ,78,.47
360409,NS127B,PHOTOCELL 105-305V 1000W D2D LONG LIFE FOR LED FIXTURES BLK,NIG02,3LGHTPE    ,76,12.96
360413,51001,FUSE FIT ALL TYPE T 1A,COO02,3FUSE      ,63,5.00
360414,CONCH 500FT COIL,2 AWG AL TRIPLEX ACSR NEU 500FT COIL,CME02,3WIREOHSEC ,63,1.01
360417,PERIWINKLE 500FT COIL,4 AWG AL TRIPLEX ACSR NEU 500FT COIL 86LBS,CME02,3WIREOHSEC ,63,.61
360421,COSTENA 1200FT NRR,1/0 AWG AL QUAD ACSR NEU 1200FT 42X26X18 NRR,CME02,3WIREOHSEC ,350,1.45
360422,NERITINA 500FT COIL,1/0 AWG AL TRIPLEX ACSR NEU 500FT COIL,CME02,3WIREOHSEC ,63,1.46
360422,NERITINA 1200FT NRR,1/0 AWG AL TRIPLEX ACSR NEU 1200FT 36X24X17 NRR (504 LBS),CME02,3WIREOHSEC ,279,1.51
360424,SLIPPERY ROCK 1500FT NRR,350 MCM AL QUAD 350-350-350-4/0 URD 1500FT 66X36X36 NRR,CME02,3WIREUDSEC ,260,4.03
360434,8708,BOLT MACHINE GALV 1/2 X 8,POW06,3BOLTWSHR  ,14,1.11
360445,ASO-398-1-N,CLAMP DEAD END SHOE #6 - 2/0 SIDE LOADING,MAC10,3DESHOES   ,77,9.57
360446,ADE2526S,CLAMP DEADEND CLAMP QUADRANT STYLE 336.4 26/7 - 1192.5 45/7 ACSR W/ SOCKET,MAC10,3DESHOES   ,70,97.26
360448,178,LOCKWASHER SPRING DOUBLE COIL HDG FOR 3/4" BOLT "J178",MAC10,3BOLTWSHR  ,42,.48
360455,37.5 14.4-240/120 PAD GT,PAD 37.5 KVA 14400 240/120 1PH,ERM02,3TRANURD1P ,365,2109.69
360457,75 14.4-240/120 PAD GT,PAD 75 KVA 14400 240/120 1PH,ERM02,3TRANURD1P ,365,2705.77
360458,STK2A,STRAP KIT 2",ALU01,3BRACKET   ,66,4.41
360459,CSTK3,STRAP KIT 3IN,TEC05,3BRACKET   ,14,5.49
360460,F4242-32CL1224,PAD FLAT POLYMER CONCRETE 42 X 42 X 3 W/ 12 X 24 OPENING W/ TIE DOWN & 1 LIFT PROV,DIV02,3XFRMRPAD  ,8,148.67
360461,STK4A,STRAP KIT 4IN,ALU01,3BRACKET   ,70,4.76
360462,112.5 14.4-208/120 3PH PAD,PAD 112.5 KVA 14400 208/120 3PH W/TAPS,GEP01,3TRANURD3P ,63,8374.04
360462,STK-6A,STRAP KIT 6IN,ALU01,3BRACKET   ,70,8.06
