COG Customer Item Number,TEC Item Number,Item Descripton,Supplier Code,Subcategory,Price
360081,500 DV-480/277 3PH PAD,PAD 500 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,20051.85
360082,750 DV-480/277 3PH PAD,PAD 750 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,27103.19
360084,1500 DV-480/277 3PH PAD,PAD 1500 KVA 14400X7200 480/277 3PH W/ TAPS +/-  5%,ERM02,3TRANURD3P ,31663.95
360088,37.5 DV-120/240 2B,CONV 37.5 KVA 14400X7200 120/240 2 BUSHING,GEP01,3TRANOH    ,1389.86
360089,50 DV-120/240 2B SPD,CONV 50 KVA 14400X7200 120/240 2 BUSHING W/ 4H SPADES,GEP01,3TRANOH    ,1915.8
360090,75 DV-120/240 2B,CONV 75 KVA 14400X7200 120/240 2 BUSHING,GEP01,3TRANOH    ,2514.51
360091,100 DV-120/240 2B,CONV 100 KVA 14400X7200 120/240 2BUSHING,GEP01,3TRANOH    ,2793.56
360093,25 DV-277/480 2B,CONV 25 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,1367.5
360094,37.5 DV-277/480 2B,CONV 37.5 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,1165.57
360095,50 DV-277/480 2B,CONV 50 KVA 14400X7200 277/480 2 BUSHING,GEP01,3TRANOH    ,1356.05
360095,50 DV-277/480 2B TAPS,CONV 50 KVA 14400X7200 277/480 2 BUSHING W/TAPS,ERM02,3TRANOH    ,2223.46
360096,75 DV-277/480 2B,CONV 75 KVA 14400X7200 277/480 2 BUSHING,ERM02,3TRANOH    ,2064.47
360099,25 DV-240/480 2B ARRTAPSSPD-ZU,CONV 25 KVA 14400X7200 240/480 2 BUSHING W/ ARRESTER TAPS SPADES,GEP01,3TRANOH    ,0
360101,CSW6500-58SLC,CONNECTOR TRANSFORMER SEC 6 PORT #2-500MCM 5/8 STUD ST LIGHT  INHI W/ CLR CVR,THO05,3CONNURDSE ,0
360102,75 DV-240/480 2B,CONV 75 KVA 14400X7200 240/480 2 BUSHING,GEP01,3TRANOH    ,2065.19
360104,6170000-21 STAMPED COG,SEAL METER PLASTIC MAROON STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,0
360105,6170000-1 STAMPED COG,SEAL METER PLASTIC RED STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,0
360106,6170000-4 STAMPED COG,SEAL METER PLASTIC ORANGE STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,0
360107,6170000-5 STAMPED COG,SEAL METER PLASTIC GRAY STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,0
360109,215FT,FEED THRU STAND OFF 15KV,ELE05,3MLDRUBBER ,122.34
360111,RS900G-24-D-2SC25-XX,SWITCH ETHERNET 10 PORT RUGGEDCOM 24V,SIE02,3RELAYCTRL ,0
360113,CEP130M1,CAPACITOR 200KVAR 14400V 2 BUSH 125KV BIL,ARK05,3CAPACITOR ,651.2
360120,7470801-27,SEAL METER CLEAR RED INSERT TOOL-LESS 8IN WIRE NUMBERED NO STAMPING,EJB02,3SEALS     ,0.28
360122,CREO452W,POLE WOOD 45FT CL 2 CREOSOTE,500,2MFGCREPOL ,15.11
360127,108234,"ANCHOR 10"" EXPANDING FOR 3/4",ARK05,3ANCHOR    ,20.36
360128,5348,ROD ANCHOR 5/8 X 8 TWINEYE,ARK05,3ANCHORROD ,0
360128,J7517,ROD ANCHOR 5/8 X 7 TWINEYE,MAC10,3ANCHORROD ,13.89
360132,AS-1,ANCHOR SHACKLE 5/8IN PIN 25K RATED,LIN05,3BOLTWSHR  ,3.28
360133,213709-7323,ARRESTER 10KV POLYMER XARM MOUNT W/STRAP W/ CAP,TEC05,3ARRESTDIS ,47.28
360133,AHD-10B-1GA-1X1-1X,ARRESTER 10KV HD POLYMER XARM MOUNT W/ CAP,ALU01,3ARRESTDIS ,49.97
360135,8635,BOLT CARRIAGE 3/8 X 5,POW06,3BOLTWSHR  ,0.49
360139,8864,BOLT DOUBLE ARMING GALV 5/8 X 14,POW06,3BOLTWSHR  ,2.14
360140,8866,BOLT DOUBLE ARMING GALV 5/8 X 16,POW06,3BOLTWSHR  ,2.91
360141,8868,BOLT DOUBLE ARMING GALV 5/8 X 18,MAC10,3BOLTWSHR  ,5.15
360143,8872,BOLT DOUBLE ARMING GALV 5/8 X 22 J8872,MAC10,3BOLTWSHR  ,4.73
360146,8812,BOLT MACHINE GALV 5/8 X 12,ALU01,3BOLTWSHR  ,1.9
360147,8814,BOLT MACHINE GALV 5/8 X 14,ALU01,3BOLTWSHR  ,2.22
360148,8818,BOLT MACHINE GALV 5/8 X 18,MAC10,3BOLTWSHR  ,2.25
360151,8912,BOLT MACHINE GALV 3/4 X 12,ALU01,3BOLTWSHR  ,3.07
360151,R8912,BOLT MACHINE GALV 3/4 X 12,POW06,3BOLTWSHR  ,2.01
360153,PENTAHEAD BOLT SS,BOLT PENTA 1/2INX 1-1/2 STAINLESS STEEL,GEP01,3FASTENERS ,12.35
360157,9412,BOLT OVALEYE FORGED GALV 5/8 X 12,MAC10,3BOLTWSHR  ,3.21
360158,9414,BOLT OVALEYE FORGED GALV 5/8 X 14,MAC10,3BOLTWSHR  ,4.35
360160,9418,BOLT OVALEYE FORGED GALV 5/8 X 18,ALU01,3BOLTWSHR  ,5.4
360162,7744,BOLT SINGLE UPSET 5/8 X 14,ARK05,3BOLTWSHR  ,5.36
