360147,8814,BOLT MACHINE GALV 5/8 X 14,ALU01,3BOLTWSHR  ,105,2.26,1
360148,8818,BOLT MACHINE GALV 5/8 X 18,MAC10,3BOLTWSHR  ,42,3.23,1
360149,8820,BOLT MACHINE GALV 5/8 X 20,MAC10,3BOLTWSHR  ,84,4.51,1
360150,8816,BOLT MACHINE GALV 5/8 X 16,ALU01,3BOLTWSHR  ,168,2.10,1
360151,8912,BOLT MACHINE GALV 3/4 X 12,ALU01,3BOLTWSHR  ,175,3.26,1
360152,8914,BOLT MACHINE GALV 3/4 X 14,ALU01,3BOLTWSHR  ,147,3.85,1
360153,PENTAHEAD BOLT SS,BOLT PENTA 1/2INX 1-1/2 STAINLESS STEEL,GEP01,3FASTENERS ,63,2.79,1
360154,310046-27,BOLT PENTA 1/2 X 3 BRONZE XLSHAFT,ERM02,3FASTENERS ,7,8.22,1
360156,9424,BOLT OVALEYE FORGED GALV 5/8 X 24,MAC10,3BOLTWSHR  ,7,4.90,1
360157,9412,BOLT OVALEYE FORGED GALV 5/8 X 12,MAC10,3BOLTWSHR  ,140,3.63,1
360158,9414,BOLT OVALEYE FORGED GALV 5/8 X 14,MAC10,3BOLTWSHR  ,105,4.79,1
360159,9416,BOLT OVALEYE FORGED GALV 5/8 X 16,MAC10,3BOLTWSHR  ,266,6.19,1
360160,9418,BOLT OVALEYE FORGED GALV 5/8 X 18,ALU01,3BOLTWSHR  ,161,5.90,1
360162,7744,BOLT SINGLE UPSET 5/8 X 14,ARK05,3BOLTWSHR  ,14,9.81,1
360163,RAAB-60,BRACE ALLEY ARM 60IN,ALU01,3WOODBRACE ,30,91.11,1
360164,327,CLEVIS W/O 3 SPOOL INSUL (J10),WES30,3CLEVIS    ,14,11.16,1
360165,3MW-24M-LAB NO BOX,BRACKET TRANSFORMER MTG (3) 3 -50KVA WING CLUSTER W/ LIFING EYE & A&B BOLT PACKS,ALU01,3BRACKET   ,161,199.47,1
360166,12MW-24-AB,BRACKET TRANSFORMER MTG. (3) 3 - 100KVA W/ TYPE A & B BOLT PACKS,ALU01,3BRACKET   ,217,397.76,1
360167,CA2125,BREAKER CIRCUIT 125A 2 POLE 240 VAC (CUTLER-HAMMER),CIT05,3SOCKETS   ,1,410.19,1
360168,CA2200,BREAKER CIRCUIT 200A 2 POLE 240 VAC (CUTLER-HAMMER),CIT05,3SOCKETS   ,1,467.64,1
360169,KE1068B,GUARD WILDLIFE 100A 15KV CUTOUT GREY,KAD01,3WILDLIFE  ,30,29.35,1
360171,G5,CLAMP GROUND ROD 5/8 10 SOL - #2 STR,GAL04,3CONNMECH  ,24,2.14,1
360172,KE1077R,GUARD WILDLIFE TRANSFORMER 72KV 5.2 INCH,KAD01,3WILDLIFE  ,30,19.37,1
360173,KE1053,GUARD WILDLIFE FOR MOV/POLYMER SURGE ARRESTORS,KAD01,3WILDLIFE  ,21,15.38,1
360174,BC2/0,CLAMP HOTLINE BRONZE 8 - 2/0 RUN 8 - 2/0 TAP,ARK05,3HOTLINE   ,17,14.59,1
360175,SUNYYK2.5NB7,LABEL LETTER-C 2.5IN TALL '7"  YELLOW ON BLACK HIGHLY REFLECTIVE,ELE01,3SIGNS     ,7,9.51,1
360176,W20-1,CLAMP WEDGE 1/0- #4 ALUM BAIL,THO05,3CONNCOMP  ,69,2.84,1
360177,7197,CLAMP WEDGE 1/0-4/0,MAC10,3CONNCOMP  ,35,3.14,1
360178,W621,CLAMP WEDGE 2-6 ALUM BAIL,THO05,3CONNCOMP  ,37,1.88,1
360182,PAN2.5H3,TAG HOLDER HORIZONTAL POLY FOR 2-1/2 LETTER,ELE01,3SIGNS     ,7,3.23,1
360183,CTB-8,INHIBITOR OXIDE 8OZ SQUEEZE BOTTLE,THO05,3LUBRICANT ,14,22.58,1
360184,SWANATE 600LB NRR,4 AWG ACSR 7/1 600LB 30X22X16 NRR (8955FT/600#),CME02,3WIREBAREA ,342,3.21,1
360185,TULIP 1900LB NRR,336.4 MCM AAC 1900LB 54X32X32 NRR (6015FT),CME02,3WIREBAREA ,280,3.85,1
360186,ASO-684-1-N,CLAMP DEAD END SHOE #4 - 336.4  ACSR SIDE LOADING,MAC10,3DESHOES   ,55,14.88,1
360187,WR139,H-TAP #4 - 1/0 RUN #8 - #14 TAP (STREETLIGHT),THO05,3CONNCOMP  ,32,.65,1
360188,WR189,H-TAP #3-1/0 RUN #6-#2 TAP,THO05,3CONNCOMP  ,25,.65,1
360189,WR279,H-TAP 2/0-#1 RUN AND TAP,THO05,3CONNCOMP  ,25,.95,1
360190,WR399,H-TAP 3/0-4/0 RUN #1-2/0 TAP,THO05,3CONNCOMP  ,31,1.07,1
360191,WR419,H-TAP 3/0-4/0 RUN AND TAP,THO05,3CONNCOMP  ,25,1.09,1
360192,WR379,H-TAP 3/0-4/0 RUN #6-#2 TAP,THO05,3CONNCOMP  ,25,1.04,1
360193,WR159,H-TAP #2-#6 RUN & TAP,THO05,3CONNCOMP  ,14,.56,1
360194,WR-835,H-TAP 4/0-477 RUN 1/0-4/0 TAP,THO05,3CONNCOMP  ,27,4.36,1
360195,WR775,H-TAP 4/0-397 RUN AND TAP,THO05,3CONNCOMP  ,22,5.79,1
360196,WR815,H-TAP 4/0-477  RUN #6-2/0 TAP,THO05,3CONNCOMP  ,14,4.28,1
360198,WR989,H-TAP 795-795 ULTIMATE RANGE,THO05,3CONNCOMP  ,6,34.99,1
360199,CFS44-1,H-TAP #4-#6 SOL RUN #4-#8 SOL,THO05,3CONNCOMP  ,14,2.27,1
360200,CC44,C-TAP #6 SOL - 4 STR RUN  #4 SOL - 4 STR CU TAP,THO05,3CONNCOMP  ,14,.87,1
360201,WCY80,CONNECTOR WEJTAP 556-795 TO 4/0-3/0,FCI02,3CONNSHOOT ,30,36.11,1
360202,WCY78,CONNECTOR WEJTAP 556-653  TAP 336,FCI02,3CONNSHOOT ,7,45.94,1
360203,WCY56,CONNECTOR WEJTAP 397.5-4/0 TO 397.5-4/0,FCI02,3CONNSHOOT ,18,25.31,1
360204,602121-0,NOT A VALID PART NUMBER SEE 602121,TYC02,3CONNSHOOT ,49,29.77,1
360207,69338-4,SHELL AMPACT CARTRIDGE YELLOW,TYC02,3CONNSHOOT ,97,1.54,1
360208,1-602121-3,SHOOT ON TAP 795 - #4,TYC02,3CONNSHOOT ,37,38.90,1
360209,LER394Z-02,DISCONNECT 25KV 900A LINE TAP LB HOOKS W/ NO HANGERS,SIE02,3SWITCH1PH ,70,375.48,1
360210,WCY84,CONNECTOR WEJTAP 556.5-1000 TO 6-1/0,FCI02,3CONNSHOOT ,35,36.54,1
360211,WCY49,CONNECTOR WEJTAP 336 ACSR - #4 ACSR,FCI02,3CONNSHOOT ,14,18.26,1
360212,2B20,CONNECTOR 2-BOLT CU/AL 2 - 2/0 MCM RUN 8 - 2/0 MCM TAP,THO05,3CONNMECH  ,7,27.94,1
360213,602000,SHOOT ON TAP 336.4 - 2,TYC02,3CONNSHOOT ,14,22.79,1
360214,2B1000PW,CONNECTOR 2-BOLT CU/AL 750 - 1000 MCM RUN 2 - 1000 MCM TAP W/ SPACER & FREE BOLT,THO05,3CONNMECH  ,15,64.47,1
360215,BARE CU 6 SOL SD 25LB SPL,6 AWG BARE SD CU SOLID 25LB SPOOL (315FT),SER02,3WIREBAREC ,17,6.99,1
360216,XARM 8FT TYPE 3,XARM WOOD 3-3/4X4-3/4X8 REA,BRO02,3XARMWOOD  ,36,77.69,1
360217,VAUL2012BN,LUG COMPRESSON 2/0 AL/CU 2/0 6/1 ACSR 3/0 COMPACT,ARK05,3CONNCOMP  ,60,5.64,1
360218,XARM 10FT TYPE 5,XARM 10 TYPE 5   3-3/4 X 4-3/4,BRO02,3XARMWOOD  ,36,106.29,1
360219,2892-B4,DEADEND 3-5/8 X 7-1/2 X 10FT 4 WIRE,HUG08,3XARMWOOD  ,27,631.56,1
360220,DEH48DP,DEADEND NARROW PROFILE 48" 9500LB RATED,ARK05,3XARMWOOD  ,70,310.81,1
360221,WCY54,CONNECTOR WEJTAP 397.5-4/0 TO 266.8-2/0,FCI02,3CONNSHOOT ,17,21.06,1
360222,4717,PIN XARM GALV 5/8 X 7 X 1-3/8 LEAD HEAD,ELE05,3PINHDWE   ,32,26.51,1
360223,J203Z,PIN XARM GALV 5/8 X 5 X 1 NYLON 5-3/4IN SHANK,MAC10,3PINHDWE   ,101,5.69,1
360224,602001,SHOOT ON TAP 336.4 - 1/0,TYC02,3CONNSHOOT ,19,14.71,1
360225,WCY83,CONNECTOR WEJTAP 556.5 TO 795 ACSR,FCI02,3CONNSHOOT ,30,34.37,1
360226,CPG27-300A-125-CX,CUTOUT 27KV 300A SOLID BLADE 125 BIL W/ PG CONN & EXT BRKT,ALU01,3CUTOUTPRC ,105,109.87,1
360228,SUNYYK2.5NB1,LABEL LETTER-C 2.5IN TALL "1" YELLOW ON BLACK HIGHLY REFLECTIVE,ELE01,3SIGNS     ,7,7.31,1
360229,GDE1107,GRIP DEAD END GUY 3/8 35IN ORANGE,PRE12,3FMDWIRE   ,76,3.07,1
360230,RS900G-HI-D-2SC25-XX,SWITCH ETHERNET 10 PORT RUGGEDCOM 110V,SIE02,3RELAYCTRL ,200,.00,1
360232,WPBYN-BOX25,SHELL WEJ TAP CARTRIDGE YELLOW,FCI02,3CONNSHOOT ,104,1.70,1
360233,9420,BOLT OVALEYE FORGED GALV 5/8 X 20,POW06,3BOLTWSHR  ,60,5.89,1
360236,5575,PLATE GROUND CU POLE BUTT 7.5 X 7.5,THO05,3GRPLATES  ,23,7.07,1
360239,S1540AGP,CLAMP HOTLINE AL TIN PLATED 4-266 RUN 6-266 TAP,WES30,3HOTLINE   ,14,27.72,1
360240,RMYGG-SM-8TST,GUARD GUY HDPE YELLOW 8FT W/ TIE WRAP (750/LIFT),RMP02,3GUYGUARD  ,76,7.04,1
360241,AAC301,CLAMP ANGLE #4 - 397.5  .23IN - .75IN,ARK05,3DESHOES   ,34,24.91,1
360242,AHLS-954022-E,STIRRUP BOLTED 336.4 - 954 ACSR W/ 2/0 BAIL 2 BOLT,ARK05,3CONNMECH  ,238,51.53,1
