360200,CC44,C-TAP #6 SOL - 4 STR RUN  #4 SOL - 4 STR CU TAP,THO05,3CONNCOMP  ,14,.87
360201,WCY80,CONNECTOR WEJTAP 556-795 TO 4/0-3/0,FCI02,3CONNSHOOT ,30,36.11
360203,WCY56,CONNECTOR WEJTAP 397.5-4/0 TO 397.5-4/0,FCI02,3CONNSHOOT ,18,22.65
360204,602121-0,NOT A VALID PART NUMBER SEE 602121,TYC02,3CONNSHOOT ,49,29.77
360210,WCY54,CONNECTOR WEJTAP 397.5-4/0 TO 266.8-2/0,FCI02,3CONNSHOOT ,17,20.94
360210,WCY84,CONNECTOR WEJTAP 556.5-1000 TO 6-1/0,FCI02,3CONNSHOOT ,35,36.54
360211,602013,SHOOT ON TAP 336.4 - 4,TYC02,3CONNSHOOT ,217,17.05
360211,WCY49,CONNECTOR WEJTAP 336 ACSR - #4 ACSR,FCI02,3CONNSHOOT ,14,18.26
360212,2B20,CONNECTOR 2-BOLT CU/AL 2 - 2/0 MCM RUN 8 - 2/0 MCM TAP,THO05,3CONNMECH  ,7,27.94
360214,2B1000PW,CONNECTOR 2-BOLT CU/AL 750 - 1000 MCM RUN 2 - 1000 MCM TAP W/ SPACER & FREE BOLT,THO05,3CONNMECH  ,15,64.47
360215,BARE CU 6 SOL SD 25LB SPL,6 AWG BARE SD CU SOLID 25LB SPOOL (315FT),SER02,3WIREBAREC ,16,7.51
360216,XARM 8FT TYPE 3,XARM WOOD 3-3/4X4-3/4X8 REA,BRO02,3XARMWOOD  ,60,71.30
360217,VAUL2012BN,LUG COMPRESSON 2/0 AL/CU 2/0 6/1 ACSR 3/0 COMPACT,ARK05,3CONNCOMP  ,60,5.64
360218,XARM 10FT TYPE 5,XARM 10 TYPE 5   3-3/4 X 4-3/4,BRO02,3XARMWOOD  ,60,101.24
360219,2892-B4,DEADEND 3-5/8 X 7-1/2 X 10FT 4 WIRE,HUG08,3XARMWOOD  ,27,631.56
360222,647Z,PIN XARM GALV 5/8 X 7 X 1-3/8 NYLON CAT#J647Z,MAC10,3PINHDWE   ,195,16.74
360222,J647Z,PIN XARM GALV 5/8 X 7 X 1-3/8 NYLON,MAC10,3PINHDWE   ,195,12.33
360224,602001,SHOOT ON TAP 336.4 - 1/0,TYC02,3CONNSHOOT ,18,14.71
360225,WCY83,CONNECTOR WEJTAP 556.5 TO 795 ACSR,FCI02,3CONNSHOOT ,30,32.68
360226,T710-233T,BLADE SOLID 300A 27KV 125BIL FOR STANDARD CUTOUT,ELE05,3CUTOUTTUB ,14,73.89
360228,SUNYYK2.5NB1,LABEL LETTER-C 2.5IN TALL "1" YELLOW ON BLACK HIGHLY REFLECTIVE,ELE01,3SIGNS     ,7,7.31
360230,RS900G-HI-D-2SC25-XX-ZN11407,SWITCH ETHERNET 10 PORT RUGGEDCOM 110V,SIE02,3RELAYCTRL ,200,.00
360239,C1530AP,CLAMP HOTLINE AL TIN PLATED #6 - 336.4 RUN #6 - 4/0 TAP,MAC10,3HOTLINE   ,63,18.28
360239,S1540AGP,CLAMP HOTLINE AL TIN PLATED 4-266 RUN 6-266 TAP,WES30,3HOTLINE   ,14,27.72
360240,70-7YTIE,GUARD GUY HDPE YELLOW 8FT W/ TIE WRAP (750/LIFT),ELE15,3GUYGUARD  ,24,2.77
360241,AAC301,CLAMP ANGLE #4 - 397.5  .23IN - .75IN,ARK05,3DESHOES   ,34,24.91
360243,AHLS-024021E,STIRRUP BOLTED #4 - 4/0 ACSR W/ 1/0 BAIL 2 BOLT,ARK05,3CONNMECH  ,238,25.15
360246,CP710-211PB,CUTOUT 27KV 100A POLYMER 125 BIL W/ PG CONN & BRKT 8KAIC,CIT05,3CUTOUTPOL ,1,180.85
360246,CSG27-100A-125-CB-8KA,CUTOUT 27KV 100A POLYMER 125 BIL W/ PG CONN & BRKT 8KAIC,ALU01,3CUTOUTPOL ,42,101.24
360248,FI-3CS04NAM,FAULT INDICATOR PADMOUNT,SMA02,3FAULTIND  ,36,162.82
360249,56-1,INSULATOR PIN J-NECK 56-1 1-3/8 IN,VIC04,3INSULPORC ,20,12.54
360250,FI-3CS04NCM-3PH,FAULT INDICATOR URD 4HR RESET 3PH,SMA02,3FAULTIND  ,150,591.51
360251,53-2,INSULATOR SPOOL 3IN ANSI 53-2 GRAY,NEW13,3INSULPORC ,90,1.80
360252,31020,FUSE FIT ALL TYPE K 20A,COO02,3FUSE      ,91,4.70
360254,EF8TCCIR/BOX,FUSE FIT ALL TYPE T 8A,IND11,3FUSE      ,14,1.95
360255,51010,FUSE FIT ALL TYPE T 10A,COO02,3FUSE      ,66,3.80
360255,EF10TCCIR/BOX,FUSE FIT ALL TYPE T 10A,IND11,3FUSE      ,14,1.95
360256,TAP10CUSTR-05,1/0 AWG CU 19 STR SD HENDRIX TAP WIRE 500FT NRR TPR COVER,HEN03,3WIRERISER ,90,5.46
360257,51003,FUSE FIT ALL TYPE T 3A,COO02,3FUSE      ,63,3.97
360257,EF3TNCIR/BOX,FUSE FIT ALL TYPE T 3A,IND11,3FUSE      ,14,1.95
360259,EF6TCCIR/BOX,FUSE FIT ALL TYPE T 6A,IND11,3FUSE      ,14,1.95
360261,51015,FUSE FIT ALL TYPE T 15A,COO02,3FUSE      ,63,3.87
360262,51020,FUSE FIT ALL TYPE T 20A,COO02,3FUSE      ,63,3.77
360262,EF20TCCIR/BOX,FUSE FIT ALL TYPE T 20A,IND11,3FUSE      ,14,1.95
360263,51025,FUSE FIT ALL TYPE T 25A,COO02,3FUSE      ,63,4.39
360268,51080,FUSE FIT ALL TYPE T 80A,COO02,3FUSE      ,63,8.79
360269,EF100TCCIR/BOX,FUSE FIT ALL TYPE T 100A,IND11,3FUSE      ,28,7.84
360270,UT-H4233A,SOCKET METER 200A 1P ST,DUR03,3SOCKETS   ,365,.00
360274,CMW58,LOCKWASHER DOUBLE COIL FOR 5/8 BOLT,CIT05,3BOLTWSHR  ,1,1.73
360275,UC7460-WL,SOCKET METER 20A 8 TERMINAL RINGLESS W/ TS PROV,MIL07,3SOCKETS   ,372,.00
360275,UC7460-WL-ZN11407,SOCKET METER 20A 8 TERMINAL RINGLESS W/ TS PROV,MIL07,3SOCKETS   ,372,.00
360278,602U3060A13-1733,SOCKET METER 20A 13T W/ 10-POLE TEST SWITCH PREWIRED,EJB02,3METER     ,7,383.68
360279,U7040-RL-TG,SOCKET METER 200A 4T OH/UG SMALL HUB OPENING & TRIPLEX GROUND,MIL07,3SOCKETS   ,189,47.93
360280,U7420-DL,SOCKET METER 200A 7T RL MD NOBY OH,MIL07,3SOCKETS   ,372,118.48
360280,U7420-RL,SOCKET METER 200A 7T OH NO HUB,MIL07,3SOCKETS   ,372,137.48
360283,1092,EYENUT FORGED OVAL FOR 5/8 BOLT,POW06,3BOLTWSHR  ,47,1.73
360283,6502,EYENUT FORGED OVAL FOR 5/8 BOLT,POW06,3BOLTWSHR  ,70,3.85
360284,1093,EYENUT FORGED OVAL FOR 3/4 BOLT,POW06,3BOLTWSHR  ,70,1.67
360285,6510,EYENUT FORGED THIMBLE FOR 5/8 BOLT,ALU01,3BOLTWSHR  ,156,3.79
360286,J25179Z,PIN POLE TOP OFFSET 1-3/8 (PLASTIC),MAC10,3PINHDWE   ,217,30.25
360287,QF48-24-18,GROUND SLEEVE FIBERGLASS 48" X 24" X 18",QUA07,3GRDSLEEVE ,84,237.79
360289,11510SCAMT1R2FGRFD29822,FIXTURE ROADWAY COBRAHEAD 100W HPS MULTI-TAP FOREST GREEN,ACU03,3LGHTHID   ,70,135.95
360293,508754,SCREW LAG SQUARE HEAD 1/2 X 4 FETTER DRIVE DRIVE PO,POW06,3BOLTWSHR  ,70,.75
360294,SHEPERD 3300FT NRR,6 AWG AL DUPLEX ACSR NEU 3300FT 30X18X12 NRR,CME02,3WIREOHSEC ,350,.23
360294,SHEPERD 500FT COIL,6 AWG AL DUPLEX ACSR NEU 500FT COIL,CME02,3WIREOHSEC ,238,.28
360296,ZUZARA 1000FT NRR,4/0 AWG AL TRIPLEX ACSR NEU 1000FT 42FX25WX14T NRR,CME02,3WIREOHSEC ,347,2.20
360299,E8182053P,SWITCH AIRBREAK HANDLE EXTENSION LINK GALV  BOLT AR11P PIPE HDWR,CIT05,3SWITCH3PH ,7,.00
360300,GL402A,SPLICE AUTO #4 ACSR,ARK05,3CONNAUTO  ,14,8.38
360302,GL1385A,SPLICE AUTO 795 AAC,ARK05,3CONNAUTO  ,154,78.19
360305,LK830T,LINK FIGURE 8 W/ 90 DEGREE TWIST 30K,ELE05,3BOLTWSHR  ,16,21.93
360307,RC336,SPLICE COMPRESSION 336.4 ACSR FULL TENSION,THO05,3CONNCOMP  ,118,30.01
360310,31065,FUSE FIT ALL TYPE K 65A,COO02,3FUSE      ,21,7.61
360311,AC336,SPLICE ALUMINUM 336  FULL TENSION,MAC10,3CONNCOMP  ,7,2.05
360312,P8160122P,PIPE CONTROL 83 INCH LG,ARK05,3SWITCH3PH ,30,143.42
360313,118324,STAPLE 1-1/2  X 3/8 X 0.148 9G KNURLED SLASH POINT GALV 50# BX (3050 PCS),BEK01,3FASTENERS ,119,2.32
360314,3/8 GUY EHS 500FT,WIRE GUY 3/8 EHS 500 COILS (.272#/FT),CON08,3WIREGUY   ,14,.56
360314,3/8 GUY HS 500FT,WIRE GUY 3/8 HS 500 COILS (.272#/FT),CON08,3WIREGUY   ,14,.62
360315,J26634,BRACKET XARM ARRESTER/CUTOUT,MAC10,3BRACKET   ,229,9.50
360316,AR114FFLST,SWITCH GOAB 25KV 900A 150KV BIL W/STL GROUND OPERATING PROVISION,ARK05,3SWITCH3PH ,43,5127.15
360318,NP2-500I,CONNECTOR TRANSFORMER EYEBOLT ADAPTER MT SET SCREW 2H #10-500 3/4IN STUD,CMC01,3CONNURDSE ,43,11.85
360319,HGSE020,LUG TRANSFORMER GROUND 8 SOL - 2/0 STR 2 WAY BASKET,PEN04,3CONNMECH  ,14,6.60
360320,ARP00035,TERMINAL 5TH PLUG IN,DUR03,3SOCKETS   ,56,5.40
360321,PMS-360321,PRIMARY METER SET 15KV 50:1 VT,CIT05,3MTRSET    ,7,.00
360321,PMS-360321-ZN,PRIMARY METER SET 15KV 50:1 VT,CIT05,3MTRSET    ,7,.00
360328,75 DV-240/120 PAD T1,PAD 75 KVA 14400X7200 240/120 1PH TYPE I,GEP01,3TRANURD1P ,63,3213.43
360330,SUNYYK2.5NB2,LABEL LETTER-C 2.5IN TALL "2" YELLOW ON BLACK HIGHLY REFLECTIVE,ELE01,3SIGNS     ,7,10.41
360333,SUNYYK2.5NB5,LABEL LETTER-C 2.5IN TALL "5" YELLOW ON BLACK HIGHLY REFLECTIVE,ELE01,3SIGNS     ,7,8.96
360335,MR-DNX,LIGHT STREET CONTROLL BOX 277V SPEC 6863 (TRINETIC) W/ MOUNT BRACKET,CIT05,3RELAYCTRL ,1,1316.26
360338,TIE WIRE #6 ALUM,TIE WIRE #6 ALUM 25# BOX COIL (1033FT/25#),NEH02,3WIRETIE   ,59,3.81
360340,750X133311,CURRENT TRANSFORMER 600V 200:5 JAK-0C W/LBP RF4,GEG02,3CTVTPT    ,262,92.37
360343,750X136204,CURRENT TRANSFORMER 600V 400:5  JAB-OC PAD MTD,GEG02,3CTVTPT    ,310,84.03
